,Code,First_name,Last_name,Team,Nation,Position,Rating
369,palmiky01,Kyle,Palmieri,NJD,US,RW,0.8676656736981833
370,petryje01,Jeff,Petry,MTL,US,D,0.8497743975476101
371,pirribr01,Brandon,Pirri,NYR,CA,C,0.7609632153537622
372,postmpa01,Paul,Postma,BOS,CA,D,0.6822447024107132
373,reavery01,Ryan,Reaves,TOT,CA,RW,0.7230513373605899
374,scandma01,Marco,Scandella,BUF,CA,D,0.7827733456003694
375,scevico01,Colton,Sceviour,FLA,CA,C,0.7808843043798044
376,seguity01,Tyler,Seguin,DAL,CA,C,0.913245123157618
377,shattke01,Kevin,Shattenkirk,NYR,US,D,0.843146339172353
378,skinnje01,Jeff,Skinner,CAR,CA,C,0.857693075040327
379,smithbe01,Ben,Smith,TOT,US,RW,0.7436070450018224
380,spurgja01,Jared,Spurgeon,MIN,CA,D,0.8746177669601196
381,stepade01,Derek,Stepan,ARI,US,C,0.8605527531511017
382,straibr01,Brian,Strait,NYI,US,D,0.7171067299613749
383,tanevch01,Chris,Tanev,VAN,CA,D,0.7809198044343364
384,tatarto01,Tomas,Tatar,TOT,CS,C,0.813249785119137
385,vandech01,Chris,VandeVelde,PHI,US,C,0.7307372591185781
386,weiseda01,Dale,Weise,PHI,CA,RW,0.7319052743916155
387,wiercpa01,Patrick,Wiercioch,COL,CA,D,0.7126823580478094
388,wingeto01,Tommy,Wingels,TOT,US,C,0.75198114654713
389,zuccama01,Mats,Zuccarello,NYR,NO,LW,0.8674695974171436
390,anderjo03,Joakim,Andersson,DET,SE,C,0.6861527244760566
